"sample_no","author","year","n","pj_pj","pj_si","si_si","pj_le","si_le","le_le","pjxsi_le","published","place","region","demq_group","demq","demin_group","demin","hdi","si_measure","design","period","mean_age","male_percent","minority_percent"
124,"Ward",2022,600,1,NA,1,0.44,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,50.5,0.47,0.43
125,"Watson",2021,1896,1,NA,1,0.47,NA,1,NA,1,"Tuvalu",3,"NA","NA","NA",NA,0.641,NA,"C",NA,37.14,0.48,NA
126,"Wolfe_a",2021,2086,1,0.02,1,0.09,0.52,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,1,"E",NA,45.98,0.49,0.38
127,"Woo",2018,301,1,NA,1,0.56,NA,1,NA,1,"South Korea",3,"1","0.88300000000000001","1",8.16,0.925,NA,"C",NA,27.75,0.47,NA
128,"Wu",2022,3306,1,NA,1,0.8,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,NA,0.52,0.32
129,"Zahnow",2021,4227,1,NA,1,0.47,NA,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,NA,"C",NA,51.26,0.41,0.09
130,"ESS_aa",2010,2259,1,NA,1,0.27,NA,1,NA,1,"Austria",2,"1","0.89","1",8.07,0.916,NA,"C",NA,45.28,0.48,NA
131,"ESS_ab",2010,1704,1,NA,1,0.13,NA,1,NA,1,"Belgium",2,"1","0.92500000000000004","2",7.51,0.937,NA,"C",NA,46.76,0.48,NA
132,"ESS_ac",2010,2430,1,NA,1,0.2,NA,1,NA,1,"Bulgaria",2,"2","0.67200000000000004","2",6.64,0.795,NA,"C",NA,53.38,0.44,NA
133,"ESS_ad",2010,1502,1,NA,1,-0.02,NA,1,NA,1,"Switzerland",2,"1","0.93400000000000005","1",8.9,0.962,NA,"C",NA,47.81,0.51,NA
134,"ESS_ae",2010,1069,1,NA,1,0.2,NA,1,NA,1,"Cyprus",2,"1","0.84599999999999997","2",7.43,0.896,NA,"C",NA,48.11,0.45,NA
135,"ESS_af",2010,2386,1,NA,1,0.02,NA,1,NA,1,"Czech Republic",2,"1","0.83399999999999996","2",7.74,0.889,NA,"C",NA,46.96,0.5,NA
136,"ESS_ag",2010,3026,1,NA,1,0.12,NA,1,NA,1,"Germany",2,"1","0.94399999999999995","1",8.67,0.942,NA,"C",NA,47.61,0.51,NA
137,"ESS_ah",2010,1576,1,NA,1,0.14,NA,1,NA,1,"Denmark",2,"1","0.95799999999999996","1",9.09,0.479,NA,"C",NA,48.48,0.51,NA
138,"ESS_ai",2010,1793,1,NA,1,0.12,NA,1,NA,1,"Estonia",2,"1","0.90300000000000002","2",7.84,0.89,NA,"C",NA,48.69,0.4,NA
139,"ESS_aj",2010,1880,1,NA,1,0.12,NA,1,NA,1,"Spain",2,"1","0.91200000000000003","2",7.94,0.905,NA,"C",NA,45.85,0.49,NA
140,"ESS_ak",2010,1878,1,NA,1,0.16,NA,1,NA,1,"Finalnd",2,"1","0.94599999999999995","1",9.27,0.94,NA,"C",NA,48.83,0.49,NA
